open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1762615200000,3387.62,3390.51,3376.50,3378.44,18404.219,1762615499999,62272338.82038,35190,7605.515,25736555.61978,0
1762615500000,3378.43,3382.84,3378.43,3381.52,12780.046,1762615799999,43202749.04677,22212,6058.372,20481085.19101,0
1762615800000,3381.52,3387.53,3377.34,3377.76,13983.409,1762616099999,47308034.76236,23855,9710.456,32852857.79938,0
1762616100000,3377.77,3383.38,3373.72,3380.00,10244.829,1762616399999,34613206.57410,25306,3150.544,10646074.44870,0
1762616400000,3380.00,3380.41,3367.81,3376.46,16149.205,1762616699999,54495162.33606,29406,5914.754,19959348.62414,0
1762616700000,3376.46,3385.35,3373.60,3380.35,12515.194,1762616999999,42306356.38615,26809,7082.886,23944900.31913,0
1762617000000,3380.35,3384.74,3379.05,3380.65,4694.626,1762617299999,15873832.55671,16965,2197.261,7429515.43249,0
1762617300000,3380.65,3382.07,3370.82,3375.68,9811.841,1762617599999,33123365.75288,17441,2775.730,9368921.24952,0
1762617600000,3375.69,3378.38,3362.39,3370.36,26802.343,1762617899999,90308198.06172,35353,9551.015,32187542.54198,0
1762617900000,3370.36,3376.85,3360.50,3364.20,21576.298,1762618199999,72664517.12592,37102,11493.452,38728222.24573,0
1762618200000,3364.20,3382.36,3364.03,3380.27,15423.327,1762618499999,52031079.66405,29206,10514.835,35471678.12637,0
1762618500000,3380.26,3382.94,3370.00,3371.25,13008.561,1762618799999,43940156.79478,27655,4016.414,13568347.15156,0
1762618800000,3371.26,3373.84,3363.49,3372.64,12914.794,1762619099999,43494619.42510,27328,7752.341,26111437.84005,0
1762619100000,3372.63,3375.95,3370.98,3374.69,8501.099,1762619399999,28683018.59610,20011,5349.431,18049087.54252,0
1762619400000,3374.70,3377.74,3370.01,3373.78,14701.949,1762619699999,49590179.40968,24963,6480.337,21862422.03270,0
1762619700000,3373.80,3379.86,3372.33,3378.09,6001.116,1762619999999,20265582.72350,21594,3277.482,11067868.89528,0
1762620000000,3378.09,3380.44,3368.94,3369.48,10896.231,1762620299999,36787739.11927,21990,5247.472,17725319.48263,0
1762620300000,3369.47,3370.95,3364.44,3365.66,13679.905,1762620599999,46059600.41272,29261,4497.003,15142330.89041,0
1762620600000,3365.67,3366.85,3353.31,3358.29,27852.943,1762620899999,93551393.21262,38307,11389.423,38262976.30505,0
1762620900000,3358.29,3369.00,3353.88,3366.84,14510.716,1762621199999,48779428.31222,25257,9748.733,32772764.05823,0
1762621200000,3366.85,3369.04,3361.65,3368.26,11519.711,1762621499999,38760328.30778,21009,5361.129,18040798.89114,0
1762621500000,3368.25,3369.62,3363.00,3367.27,6782.043,1762621799999,22829393.11596,16600,3292.222,11082956.43992,0
1762621800000,3367.28,3369.96,3364.11,3366.95,4140.054,1762622099999,13943872.06357,12209,2503.906,8433533.48887,0
